"Reference","Value","Description","Qty","DNP","Digikey Part Number"
"C1,C2,C10,C11,C12,C13,C14,C16,C17,C19","0.1u","0.1uF, 16V, X7R, SMD 0603","10","","CC0603KRX7R7BB104"
"C3","100u","100uF, 63V, Aluminum Electrolytic, SMD","1","","A768MS107M1JLAV027"
"C4","2.2u","2.2uF, 100V, X7R, SMD 1206","1","","12061C225KAT2A"
"C5,C8","22u","22uF, 10V, X5R, SMD 0805","2","","CL21A226MPQNNNE"
"C6","470u","470uF, 25V, Aluminum Electrolytic, SMD","1","","A768MS477M1ELAV017"
"C7","10u","10uF, 16V, X5R, SMD 0805","1","","CL21A106KOQNNNG"
"D1","LED","LED, 1.95V Vf, 20mA If, SMD 0603","1","","APT1608SURCK"
"J1","B2P-VH-FB-B","JST-VH 2 Pin Connector, Shielded, Vertical","1","","B2P-VH-FB-B"
"J3","RPi5_Header","Expansion header for Raspberry Pi 5","1","","PRT-16764"
"J5,J6,J7","BM02B-GHS-TBT","JST-GH 2 Pin Connector, Vertical","3","","BM02B-GHS-TBT"
"R3,R4","3.9k","3.9K OHM, 1%, 1/10W, SMD 0603","2","","ERJ-3EKF3901V"
"R6","68","68 OHM, 5%, 1/10W, SMD 0603","1","","RC0603JR-0768RL"
"R8","20k","20K OHM, 1%, 1/10W, SMD 0603","1","","ERJ-3EKF2002V"
"R9","2k","2K OHM, 1%, 1/10W, SMD 0603","1","","ERJ-3EKF2001V"
"U1","PKU5511ESI","DC/DC Step Down, 1/16 brick","1","","PKU5511ESI"
"U2","AZ1117-3.3","1A 20V Fixed LDO Linear Regulator, 3.3V, SOT-89/SOT-223/TO-220/TO-252/TO-263","1","","AZ1117CR2-3.3TRG1"
"U3","BME280","3-in-1 sensor, humidity, pressure, temperature, I2C and SPI interface, 1.71-3.6V, LGA-8","1","","BME280"
"U4","LR62XE","","1","",""
"U5","SP3232","SP3232 RS-232 Level Shifter, TSSOP-16","1","","SP3232EUEY-L/TR"
"U6","Pico_2_W","Versatile and inexpensive microcontroller module powered by an RP2350 dual-core processor","1","",""
"U7","BNO086","Accelerometer, Gyroscope, Magnetometer, Temperature, 9 Axis Sensor IC, SPI Output","1","","BNO086"
